# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:44:27 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_long.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	long.207.1
21000	-375.88195531391386	-117.14547381887938	-258.73648149503447	-258.73648149503447	9.236476722599999	1998.3935232774002	189.54211632337905	0.45945325361783457	-75.55335789355394
21500	-359.0602274743092	-114.71040220323319	-244.34982527107604	-244.34982527107604	9.236476722599999	1998.3935232774002	189.54211632337905	0.2954276435908487	-73.0092746703647
22000	-385.6455599140116	-148.54530339427885	-237.10025651973274	-237.10025651973274	9.236476722599999	1998.3935232774002	189.54211632337905	0.5108961369577759	-76.65517815686488
22500	-409.84209049074747	-162.88678628740632	-246.95530420334114	-246.95530420334114	9.236476722599999	1998.3935232774002	189.54211632337905	0.589275028316337	-75.06744926470901
23000	-420.5429222004136	-162.33963561996964	-258.203286580444	-258.203286580444	9.236476722599999	1998.3935232774002	189.54211632337905	0.7096075805032547	-74.12761371278727
23500	-408.5242875717372	-173.23115156496965	-235.29313600676755	-235.29313600676755	9.236476722599999	1998.3935232774002	189.54211632337905	0.37468565526312847	-77.46139919543114
24000	-370.22104169387296	-117.00814257837399	-253.21289911549894	-253.21289911549894	9.236476722599999	1998.3935232774002	189.54211632337905	0.4176401479492459	-75.27365103535101
24500	-376.43818932025437	-141.68527069087688	-234.7529186293775	-234.7529186293775	9.236476722599999	1998.3935232774002	189.54211632337905	0.35948045285325525	-75.3768352477217
25000	-344.1140479542373	-125.43031963873638	-218.68372831550093	-218.68372831550093	9.236476722599999	1998.3935232774002	189.54211632337905	0.30880894061794306	-73.88275093920014
25500	-370.13245073540367	-126.97234465666105	-243.16010607874261	-243.16010607874261	9.236476722599999	1998.3935232774002	189.54211632337905	0.45852353140897273	-74.23466772887475
26000	-367.1687219308328	-134.24741417227432	-232.92130775855853	-232.92130775855853	9.236476722599999	1998.3935232774002	189.54211632337905	0.4233313880369305	-74.9481572336384
26500	-387.56344413013755	-157.23995693553542	-230.32348719460214	-230.32348719460214	9.236476722599999	1998.3935232774002	189.54211632337905	0.42334580283245615	-74.72393365693141
27000	-391.89889250092654	-159.1206758849002	-232.7782166160263	-232.7782166160263	9.236476722599999	1998.3935232774002	189.54211632337905	0.4051648873950626	-74.28087415076847
