# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:38:24 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_lat.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	lat.207.1
70500	-333.2217247434974	-144.42719975106027	-188.79452499243715	-188.79452499243715	9.236476722599999	1998.3935232774002	189.54211632337905	0.1371248402023377	41.16088615217956
71000	-383.0046643054126	-180.8034263209867	-202.2012379844259	-202.2012379844259	9.236476722599999	1998.3935232774002	189.54211632337905	0.3280213872478911	41.43035052624956
71500	-363.9507397998681	-181.0832671843498	-182.86747261551824	-182.86747261551824	9.236476722599999	1998.3935232774002	189.54211632337905	0.222247268952852	41.32358179400692
72000	-321.7864224567213	-140.4066697674685	-181.3797526892528	-181.3797526892528	9.236476722599999	1998.3935232774002	189.54211632337905	0.15541171318865074	41.0171921956441
72500	-355.053485177606	-171.92468914030542	-183.12879603730056	-183.12879603730056	9.236476722599999	1998.3935232774002	189.54211632337905	0.11046669431906943	40.80439606459705
73000	-359.40705770880885	-157.65419695444993	-201.75286075435892	-201.75286075435892	9.236476722599999	1998.3935232774002	189.54211632337905	0.26772372671307687	41.102151391182844
73500	-335.64514774332343	-168.34624078882817	-167.29890695449527	-167.29890695449527	9.236476722599999	1998.3935232774002	189.54211632337905	0.08403733311069031	41.136611005981194
74000	-334.36635928463977	-140.34322028073993	-194.02313900389987	-194.02313900389987	9.236476722599999	1998.3935232774002	189.54211632337905	0.18653307277848918	42.06089083681743
74500	-338.46601647845614	-143.21398472362134	-195.25203175483483	-195.25203175483483	9.236476722599999	1998.3935232774002	189.54211632337905	0.15376301563765643	42.641594712763336
75000	-358.42614906167864	-169.72214258253246	-188.70400647914616	-188.70400647914616	9.236476722599999	1998.3935232774002	189.54211632337905	0.146793824604309	41.18372613353251
75500	-333.1916585623394	-144.49751588708435	-188.69414267525502	-188.69414267525502	9.236476722599999	1998.3935232774002	189.54211632337905	0.17229563445569623	43.04440977414506
76000	-323.881100099899	-143.5937695532199	-180.28733054667913	-180.28733054667913	9.236476722599999	1998.3935232774002	189.54211632337905	0.1274343159897526	42.63457685965585
76500	-323.418530503238	-138.62495148404997	-184.793579019188	-184.793579019188	9.236476722599999	1998.3935232774002	189.54211632337905	0.12761863435406645	42.258607889161816
77000	-343.1202094226114	-155.82987067177638	-187.29033875083508	-187.29033875083508	9.236476722599999	1998.3935232774002	189.54211632337905	0.14543642318297267	40.59420676836027
77500	-361.53655420794917	-174.0071008657436	-187.52945334220553	-187.52945334220553	9.236476722599999	1998.3935232774002	189.54211632337905	0.18451667812943118	41.54420531818532
78000	-306.0330528975103	-128.25443996684677	-177.7786129306635	-177.7786129306635	9.236476722599999	1998.3935232774002	189.54211632337905	0.11810283534780681	40.88483208125799
78500	-366.9383931687803	-177.5535411715563	-189.38485199722396	-189.38485199722396	9.236476722599999	1998.3935232774002	189.54211632337905	0.16634185091471623	40.74417130609381
79000	-359.30944054963425	-176.62561579247424	-182.68382475716	-182.68382475716	9.236476722599999	1998.3935232774002	189.54211632337905	0.1622117039021495	42.500912574678956
79500	-322.31749956252133	-128.61181779898772	-193.70568176353365	-193.70568176353365	9.236476722599999	1998.3935232774002	189.54211632337905	0.12544407106499	41.10990968840341
80000	-328.2335943807572	-147.4835240202144	-180.75007036054282	-180.75007036054282	9.236476722599999	1998.3935232774002	189.54211632337905	0.10927244426074227	41.404635229691756
80500	-372.1708697118769	-161.80429712674018	-210.3665725851367	-210.3665725851367	9.236476722599999	1998.3935232774002	189.54211632337905	0.22243092463108732	40.959804812652514
81000	-352.7597745333817	-172.88021688515127	-179.87955764823042	-179.87955764823042	9.236476722599999	1998.3935232774002	189.54211632337905	0.20120174016845457	40.41196417705476
81500	-327.99857072987635	-148.20464349238546	-179.7939272374909	-179.7939272374909	9.236476722599999	1998.3935232774002	189.54211632337905	0.1187777176814567	40.877569423164374
82000	-361.6047967051939	-182.3726679818504	-179.2321287233435	-179.2321287233435	9.236476722599999	1998.3935232774002	189.54211632337905	0.17013451271591593	40.7174227825375
82500	-330.23096496496527	-149.0330096368957	-181.19795532806955	-181.19795532806955	9.236476722599999	1998.3935232774002	189.54211632337905	0.1477102150523021	40.84114203295236
